year_of_exercise,product_name,product_brand,material_id_code,material_description,business_division,site
2026,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Clearwater Site
2024,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Ashford Site
2024,Mendovia,Mendovia,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Clearwater Site
2025,Immunara,Immunara,MAT-20049,Stretch Pallet Wrap,Vaccines,Bridgeholm Site
2025,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Rivermill Site
2026,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Specialty Care,Rivermill Site
2024,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Pharmaceuticals,Kingsley Site
2024,Torvexa,Torvexa,MAT-20086,Contract Packaging Service,Consumer Healthcare,Fenwick Site
2025,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Vaccines,Eastgate Site
2024,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Consumer Healthcare,Solaris Park Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Rivermill Site
2024,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Vaccines,Rivermill Site
2026,Torvexa,Torvexa,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Solaris Park Site
2024,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Ashford Site
2025,Torvexa,Torvexa,MAT-20040,Water for Injection,Consumer Healthcare,Ashford Site
2024,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Eastgate Site
2024,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Vaccines,Meadowbrook Site
2026,Vezanta,Vezanta,MAT-20012,Folding Carton,Pharmaceuticals,Kingsley Site
2026,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Bridgeholm Site
2025,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Specialty Care,Ashford Site
2025,Vezanta,Vezanta,MAT-20059,Stainless Steel Reactor Component,Vaccines,Solaris Park Site
2024,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Consumer Healthcare,Rivermill Site
2026,Mendovia,Mendovia,MAT-20113,Pressure-sensitive Label,Vaccines,Fenwick Site
2026,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Consumer Healthcare,Clearwater Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Consumer Healthcare,Bridgeholm Site
2026,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Vaccines,Bridgeholm Site
2025,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Specialty Care,Ashford Site
2025,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Bridgeholm Site
2025,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Kingsley Site
2024,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Consumer Healthcare,Solaris Park Site
2026,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Consumer Healthcare,Rivermill Site
2025,Torvexa,Torvexa,MAT-20040,Water for Injection,Vaccines,Eastgate Site
2025,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Pharmaceuticals,Bridgeholm Site
2025,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Specialty Care,Eastgate Site
2025,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Bridgeholm Site
2024,Ostreva,Ostreva,MAT-20079,Patient Information Leaflet,Consumer Healthcare,Eastgate Site
2024,Vezanta,Vezanta,MAT-20048,Reusable Shipping Tote,Vaccines,Eastgate Site
2025,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Consumer Healthcare,Kingsley Site
2024,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Pharmaceuticals,Northfield Site
2026,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Specialty Care,Eastgate Site
2025,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Vaccines,Clearwater Site
2024,Norvelin,Norvelin,MAT-20144,Folding Carton,Consumer Healthcare,Northfield Site
2025,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Vaccines,Eastgate Site
2025,Calmera,Calmera,MAT-20051,Custom Synthesis Batch,Pharmaceuticals,Northfield Site
2024,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Pharmaceuticals,Rivermill Site
2024,Torvexa,Torvexa,MAT-20106,Water for Injection,Consumer Healthcare,Solaris Park Site
2026,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2025,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Kingsley Site
2025,Hemazol,Hemazol,MAT-20111,Corrugated Shipping Box,Pharmaceuticals,Clearwater Site
2026,Advelra,Advelra,MAT-20133,Monoclonal Antibody Bulk,Specialty Care,Ashford Site
2024,Wintrelis,Wintrelis,MAT-20055,Inbound Air Freight - Temperature Controlled,Specialty Care,Meadowbrook Site
2024,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Specialty Care,Northfield Site
2025,Quilava,Quilava,MAT-20075,PVC Blister Pack,Specialty Care,Meadowbrook Site
2026,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Northfield Site
2026,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Vaccines,Ashford Site
2024,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Specialty Care,Rivermill Site
2025,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Vaccines,Rivermill Site
2024,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Pharmaceuticals,Northfield Site
2026,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Rivermill Site
2025,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Rivermill Site
2025,Norvelin,Norvelin,MAT-20144,Folding Carton,Consumer Healthcare,Rivermill Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Ashford Site
2026,Quilava,Quilava,MAT-20099,Ibuprofen API,Consumer Healthcare,Ashford Site
2024,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Vaccines,Meadowbrook Site
2025,Ulvatrix,Ulvatrix,MAT-20066,Ibuprofen API,Pharmaceuticals,Meadowbrook Site
2024,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Consumer Healthcare,Fenwick Site
2026,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Pharmaceuticals,Rivermill Site
2026,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Vaccines,Eastgate Site
2026,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Pharmaceuticals,Eastgate Site
2026,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Specialty Care,Meadowbrook Site
2025,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Specialty Care,Eastgate Site
2025,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Fenwick Site
2026,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Consumer Healthcare,Ashford Site
2024,Torvexa,Torvexa,MAT-20040,Water for Injection,Consumer Healthcare,Meadowbrook Site
2026,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Vaccines,Clearwater Site
2024,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Meadowbrook Site
2025,Xantivo,Xantivo,MAT-20000,Paracetamol API,Vaccines,Bridgeholm Site
2026,Ostreva,Ostreva,MAT-20007,Water for Injection,Consumer Healthcare,Rivermill Site
2024,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Consumer Healthcare,Solaris Park Site
2025,Renovex,Renovex,MAT-20059,Stainless Steel Reactor Component,Specialty Care,Meadowbrook Site
2024,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Solaris Park Site
2026,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Kingsley Site
2024,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Pharmaceuticals,Meadowbrook Site
2025,Wintrelis,Wintrelis,MAT-20016,Stretch Pallet Wrap,Consumer Healthcare,Ashford Site
2026,Vezanta,Vezanta,MAT-20090,Cold Chain Transport - 2-8C,Pharmaceuticals,Meadowbrook Site
2025,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Consumer Healthcare,Solaris Park Site
2024,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Specialty Care,Rivermill Site
2025,Sentrivax,Sentrivax,MAT-20112,Patient Information Leaflet,Specialty Care,Meadowbrook Site
2025,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Specialty Care,Solaris Park Site
2026,Norvelin,Norvelin,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Fenwick Site
2025,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Consumer Healthcare,Bridgeholm Site
2026,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Pharmaceuticals,Eastgate Site
2025,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Northfield Site
2026,Zolvarin,Zolvarin,MAT-20044,HDPE Bottle 250ml,Consumer Healthcare,Northfield Site
2025,Xantivo,Xantivo,MAT-20109,Prefilled Syringe 2.25ml,Specialty Care,Northfield Site
2024,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Specialty Care,Clearwater Site
2025,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Vaccines,Solaris Park Site
2025,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Vaccines,Solaris Park Site
2025,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Specialty Care,Solaris Park Site
2025,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Pharmaceuticals,Bridgeholm Site
2024,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Vaccines,Clearwater Site
2025,Ostreva,Ostreva,MAT-20079,Patient Information Leaflet,Consumer Healthcare,Rivermill Site
2024,Ulvatrix,Ulvatrix,MAT-20126,Filling Line Spare Parts,Specialty Care,Bridgeholm Site
2026,Vezanta,Vezanta,MAT-20090,Cold Chain Transport - 2-8C,Consumer Healthcare,Solaris Park Site
2025,Renovex,Renovex,MAT-20045,Corrugated Shipping Box,Specialty Care,Ashford Site
2024,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Vaccines,Meadowbrook Site
2024,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Clearwater Site
2026,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Consumer Healthcare,Northfield Site
2026,Wintrelis,Wintrelis,MAT-20073,Water for Injection,Vaccines,Eastgate Site
2026,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Pharmaceuticals,Meadowbrook Site
2026,Vezanta,Vezanta,MAT-20090,Cold Chain Transport - 2-8C,Pharmaceuticals,Bridgeholm Site
2026,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Specialty Care,Northfield Site
2025,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Northfield Site
2024,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Vaccines,Kingsley Site
2024,Wintrelis,Wintrelis,MAT-20003,Microcrystalline Cellulose,Vaccines,Kingsley Site
2024,Torvexa,Torvexa,MAT-20086,Contract Packaging Service,Pharmaceuticals,Kingsley Site
2024,Sentrivax,Sentrivax,MAT-20144,Folding Carton,Pharmaceuticals,Bridgeholm Site
2025,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Consumer Healthcare,Solaris Park Site
2024,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Pharmaceuticals,Ashford Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Kingsley Site
2024,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Eastgate Site
2024,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Rivermill Site
2024,Wintrelis,Wintrelis,MAT-20055,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Kingsley Site
2024,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Consumer Healthcare,Fenwick Site
2026,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Specialty Care,Northfield Site
2026,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Pharmaceuticals,Kingsley Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Vaccines,Northfield Site
2025,Mendovia,Mendovia,MAT-20093,Filling Line Spare Parts,Vaccines,Meadowbrook Site
2026,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Vaccines,Northfield Site
2024,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Specialty Care,Bridgeholm Site
2025,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Pharmaceuticals,Clearwater Site
2025,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Rivermill Site
2026,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Clearwater Site
2025,Vezanta,Vezanta,MAT-20059,Stainless Steel Reactor Component,Vaccines,Bridgeholm Site
2025,Calmera,Calmera,MAT-20022,Inbound Air Freight - Temperature Controlled,Vaccines,Ashford Site
2024,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Specialty Care,Northfield Site
2024,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Northfield Site
2024,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Bridgeholm Site
2026,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Pharmaceuticals,Ashford Site
2025,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Vaccines,Kingsley Site
2026,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Consumer Healthcare,Meadowbrook Site
2025,Renovex,Renovex,MAT-20045,Corrugated Shipping Box,Pharmaceuticals,Ashford Site
2026,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Consumer Healthcare,Kingsley Site
2026,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Specialty Care,Meadowbrook Site
2024,Calmera,Calmera,MAT-20137,Methylparaben,Pharmaceuticals,Clearwater Site
2026,Torvexa,Torvexa,MAT-20002,Synthetic Peptide Concentrate,Specialty Care,Rivermill Site
2025,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Specialty Care,Eastgate Site
2026,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Vaccines,Northfield Site
2026,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Specialty Care,Northfield Site
2024,Vezanta,Vezanta,MAT-20090,Cold Chain Transport - 2-8C,Vaccines,Meadowbrook Site
2025,Immunara,Immunara,MAT-20128,Lab Reagent Kit,Consumer Healthcare,Kingsley Site
2026,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Vaccines,Meadowbrook Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Pharmaceuticals,Rivermill Site
2024,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Eastgate Site
2024,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Consumer Healthcare,Solaris Park Site
2026,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Pharmaceuticals,Eastgate Site
2025,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Northfield Site
2026,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Specialty Care,Clearwater Site
2024,Xantivo,Xantivo,MAT-20071,Sodium Benzoate,Specialty Care,Ashford Site
2024,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Vaccines,Clearwater Site
2024,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Pharmaceuticals,Fenwick Site
2024,Mendovia,Mendovia,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Bridgeholm Site
2024,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Meadowbrook Site
2024,Wintrelis,Wintrelis,MAT-20100,Recombinant Protein Concentrate,Specialty Care,Meadowbrook Site
2026,Renovex,Renovex,MAT-20006,Ethanol (Pharma Grade),Pharmaceuticals,Fenwick Site
2026,Xantivo,Xantivo,MAT-20054,Inbound Road Freight - Pallet,Specialty Care,Solaris Park Site
2025,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Specialty Care,Clearwater Site
2024,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Vaccines,Clearwater Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Specialty Care,Kingsley Site
2026,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Kingsley Site
2024,Calmera,Calmera,MAT-20079,Patient Information Leaflet,Consumer Healthcare,Kingsley Site
2026,Quilava,Quilava,MAT-20075,PVC Blister Pack,Vaccines,Northfield Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Specialty Care,Eastgate Site
2025,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Vaccines,Northfield Site
2025,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Ashford Site
2026,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Vaccines,Solaris Park Site
2025,Mendovia,Mendovia,MAT-20093,Filling Line Spare Parts,Vaccines,Kingsley Site
2026,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Vaccines,Fenwick Site
2026,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Specialty Care,Bridgeholm Site
2025,Renovex,Renovex,MAT-20068,Synthetic Peptide Concentrate,Specialty Care,Kingsley Site
2025,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Meadowbrook Site
2024,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Vaccines,Northfield Site
2025,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Fenwick Site
2026,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Vaccines,Kingsley Site
2024,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Specialty Care,Northfield Site
2024,Advelra,Advelra,MAT-20145,Patient Information Leaflet,Consumer Healthcare,Meadowbrook Site
2026,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Specialty Care,Eastgate Site
2026,Ulvatrix,Ulvatrix,MAT-20088,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Solaris Park Site
2025,Brenzolix,Brenzolix,MAT-20105,Isopropyl Alcohol,Pharmaceuticals,Solaris Park Site
2024,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Vaccines,Bridgeholm Site
2025,Torvexa,Torvexa,MAT-20020,Contract Packaging Service,Vaccines,Bridgeholm Site
2024,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Specialty Care,Fenwick Site
2025,Wintrelis,Wintrelis,MAT-20073,Water for Injection,Vaccines,Eastgate Site
2024,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Vaccines,Northfield Site
2024,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Solaris Park Site
2026,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Specialty Care,Clearwater Site
2024,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Bridgeholm Site
2025,Ulvatrix,Ulvatrix,MAT-20066,Ibuprofen API,Pharmaceuticals,Fenwick Site
2026,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Pharmaceuticals,Rivermill Site
2026,Quilava,Quilava,MAT-20113,Pressure-sensitive Label,Vaccines,Northfield Site
2026,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Specialty Care,Rivermill Site
2025,Renovex,Renovex,MAT-20059,Stainless Steel Reactor Component,Specialty Care,Eastgate Site
2026,Zolvarin,Zolvarin,MAT-20044,HDPE Bottle 250ml,Pharmaceuticals,Meadowbrook Site
2025,Hemazol,Hemazol,MAT-20064,Comparator Drug Batch,Consumer Healthcare,Rivermill Site
2024,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Vaccines,Rivermill Site
2024,Wintrelis,Wintrelis,MAT-20003,Microcrystalline Cellulose,Consumer Healthcare,Clearwater Site
2024,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Specialty Care,Ashford Site
2024,Quilava,Quilava,MAT-20075,PVC Blister Pack,Pharmaceuticals,Ashford Site
2024,Mendovia,Mendovia,MAT-20100,Recombinant Protein Concentrate,Specialty Care,Rivermill Site
2026,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Eastgate Site
2025,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Vaccines,Bridgeholm Site
2024,Quilava,Quilava,MAT-20075,PVC Blister Pack,Specialty Care,Northfield Site
2025,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Vaccines,Meadowbrook Site
2025,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Bridgeholm Site
2024,Ulvatrix,Ulvatrix,MAT-20086,Contract Packaging Service,Specialty Care,Clearwater Site
2025,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Specialty Care,Eastgate Site
2024,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Pharmaceuticals,Northfield Site
2025,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Rivermill Site
2026,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Specialty Care,Northfield Site
2026,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Pharmaceuticals,Ashford Site
2024,Xantivo,Xantivo,MAT-20000,Paracetamol API,Consumer Healthcare,Rivermill Site
2025,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Meadowbrook Site
2026,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Bridgeholm Site
2025,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Pharmaceuticals,Rivermill Site
2025,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Consumer Healthcare,Kingsley Site
2026,Norvelin,Norvelin,MAT-20144,Folding Carton,Vaccines,Kingsley Site
2024,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Pharmaceuticals,Ashford Site
2024,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Northfield Site
2024,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Consumer Healthcare,Fenwick Site
2024,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Consumer Healthcare,Northfield Site
2024,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Vaccines,Rivermill Site
2024,Sentrivax,Sentrivax,MAT-20034,Recombinant Protein Concentrate,Specialty Care,Clearwater Site
2024,Zolvarin,Zolvarin,MAT-20076,Prefilled Syringe 1ml,Vaccines,Bridgeholm Site
2026,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Specialty Care,Meadowbrook Site
2026,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Specialty Care,Bridgeholm Site
2024,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Fenwick Site
2026,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Rivermill Site
2025,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Specialty Care,Kingsley Site
2024,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Vaccines,Fenwick Site
2025,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Vaccines,Northfield Site
2026,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Consumer Healthcare,Meadowbrook Site
2026,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Pharmaceuticals,Clearwater Site
2024,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Specialty Care,Northfield Site
2024,Ulvatrix,Ulvatrix,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Kingsley Site
2026,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Consumer Healthcare,Solaris Park Site
2024,Calmera,Calmera,MAT-20121,Inbound Air Freight - Temperature Controlled,Vaccines,Clearwater Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Consumer Healthcare,Bridgeholm Site
2026,Immunara,Immunara,MAT-20049,Stretch Pallet Wrap,Pharmaceuticals,Fenwick Site
2025,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Vaccines,Rivermill Site
2026,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Pharmaceuticals,Meadowbrook Site
2026,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Vaccines,Northfield Site
2024,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Pharmaceuticals,Ashford Site
2025,Quilava,Quilava,MAT-20113,Pressure-sensitive Label,Consumer Healthcare,Meadowbrook Site
2026,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Vaccines,Solaris Park Site
2025,Calmera,Calmera,MAT-20131,Clinical Trial Kit,Consumer Healthcare,Clearwater Site
2024,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Vaccines,Kingsley Site
2025,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Clearwater Site
2025,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Vaccines,Fenwick Site
2026,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Pharmaceuticals,Fenwick Site
2024,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Specialty Care,Rivermill Site
2026,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Pharmaceuticals,Eastgate Site
2025,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Specialty Care,Northfield Site
2025,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Specialty Care,Northfield Site
2024,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Vaccines,Northfield Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Northfield Site
2024,Mendovia,Mendovia,MAT-20012,Folding Carton,Pharmaceuticals,Clearwater Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Pharmaceuticals,Northfield Site
2026,Glucovex,Glucovex,MAT-20038,Methylparaben,Pharmaceuticals,Eastgate Site
2026,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Pharmaceuticals,Eastgate Site
2024,Mendovia,Mendovia,MAT-20113,Pressure-sensitive Label,Consumer Healthcare,Fenwick Site
2026,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Specialty Care,Fenwick Site
